Order_ID,Order_Date,Customer_ID,Product_Name,Category,Region,Sales,Quantity,Profit,Payment_Mode
ORD100431,2025-02-05,CUST1227,Yoga Mat,Sports,East,179.03,1,39.43,Net Banking
ORD100659,2025-06-13,CUST1848,Wireless Mouse,Electronics,North,660.49,1,84.4,Net Banking
ORD100079,2024-04-19,CUST1739,Blender Pro,Home,West,250.93,1,33.68,Net Banking
ORD100651,2025-02-20,CUST1411,Smartphone X,Electronics,West,866.07,1,198.73,Credit Card
ORD100515,2024-06-17,CUST1072,Smartwatch Pro,Electronics,East,68.19,1,23.11,Credit Card
ORD100329,2025-05-22,CUST1422,Noise-Cancel Headphones,Electronics,Central,1047.98,1,268.83,Net Banking
ORD100582,2026-02-28,CUST1334,Blender Pro,Home,East,165.74,1,32.22,UPI
ORD100654,2026-01-28,CUST1414,Yoga Mat,Sports,East,277.42,1,47.99,Net Banking
ORD100536,2025-01-14,CUST1014,Wireless Mouse,Electronics,South,481.84,1,139.79,Net Banking
ORD100600,2024-12-03,CUST1614,Organic Coffee,Grocery,East,26.96,1,1.45,UPI
ORD100285,2024-09-25,CUST1653,Electric Kettle,Home,North,155.89,1,17.39,Cash
ORD100361,2024-08-25,CUST1912,Air Purifier,Home,South,71.34,1,12.5,Net Banking
ORD100440,2025-06-30,CUST1638,Blender Pro,Home,West,26.76,1,1.82,Credit Card
ORD100260,2025-12-01,CUST1581,Noise-Cancel Headphones,Electronics,West,227.96,1,55.24,UPI
ORD100494,2025-06-23,CUST1558,Yoga Mat,Sports,South,347.95,1,29.95,Debit Card
ORD100216,2025-05-27,CUST1689,Protein Bar Pack,Grocery,South,64.08,2,16.26,Credit Card
ORD100159,2024-07-12,CUST1403,Gourmet Tea,Grocery,East,31.54,1,2.28,Credit Card
ORD100011,2025-01-29,CUST1445,Smartphone X,Electronics,West,808.4,1,56.2,Net Banking
ORD100064,2025-02-10,CUST1582,Kitchen Knife Set,Home,North,142.15,1,45.37,Credit Card
ORD100355,2025-02-03,CUST1693,Gourmet Tea,Grocery,North,3.24,1,0.57,Net Banking
ORD100553,2026-03-27,CUST1302,Protein Bar Pack,Grocery,East,26.91,1,4.55,UPI
ORD100182,2025-10-10,CUST1061,Running Shoes,Apparel,West,105.05,1,16.54,UPI
ORD100261,2025-02-23,CUST1463,Denim Jacket,Apparel,South,103.39,1,12.98,Debit Card
ORD100110,2025-01-19,CUST1694,Smartwatch Pro,Electronics,West,411.9,1,51.21,Debit Card
ORD100328,2024-11-30,CUST1080,Tennis Racket,Sports,West,44.95,1,3.26,UPI
ORD100032,2024-07-23,CUST1391,Noise-Cancel Headphones,Electronics,West,1145.73,1,227.01,Debit Card
ORD100691,2025-12-27,CUST1770,Wireless Mouse,Electronics,South,1010.79,1,112.67,UPI
ORD100643,2025-12-15,CUST1503,Organic Coffee,Grocery,West,24.6,1,5.97,Cash
ORD100700,2024-10-03,CUST1200,Classic Lamp,Home,South,250.04,1,42.2,Credit Card
ORD100603,2024-05-29,CUST1707,"LED Monitor 24""",Electronics,East,374.86,1,38.32,Credit Card
ORD100146,2025-02-05,CUST1871,Smartphone X,Electronics,South,558.29,1,165.57,UPI
ORD100502,2025-01-22,CUST1496,Running Shoes,Apparel,South,44.27,1,7.51,Cash
ORD100056,2025-08-23,CUST1871,Trail Backpack,Sports,South,416.16,2,44.09,Cash
ORD100619,2025-08-20,CUST1782,Blender Pro,Home,Central,411.16,2,113.69,Debit Card
ORD100320,2025-07-15,CUST1303,Denim Jacket,Apparel,West,97.87,1,26.56,Cash
ORD100210,2025-06-01,CUST1397,Running Shoes,Apparel,Central,64.9,1,8.16,Debit Card
ORD100077,2025-07-14,CUST1955,Trail Backpack,Sports,South,330.0,2,95.19,Cash
ORD100003,2024-09-14,CUST1714,Wireless Mouse,Electronics,East,356.08,1,82.02,Cash
ORD100236,2025-11-20,CUST1002,Running Shoes,Apparel,West,408.28,4,119.61,UPI
ORD100290,2026-03-04,CUST1445,Yoga Mat,Sports,South,39.17,1,13.08,UPI
ORD100395,2025-03-21,CUST1374,Smartphone X,Electronics,West,650.48,1,52.53,UPI
ORD100699,2024-10-20,CUST1646,Smartwatch Pro,Electronics,East,98.2,1,21.93,Debit Card
ORD100332,2024-09-19,CUST1504,Blender Pro,Home,West,44.35,1,3.44,UPI
ORD100149,2024-08-14,CUST1443,Formal Shirt,Apparel,North,115.36,2,39.89,Debit Card
ORD100121,2026-02-28,CUST1612,Noise-Cancel Headphones,Electronics,East,175.71,1,32.94,Net Banking
ORD100303,2025-01-12,CUST1267,Electric Kettle,Home,South,107.52,2,13.74,Net Banking
ORD100212,2024-07-22,CUST1138,Electric Kettle,Home,North,212.71,1,39.19,Cash
ORD100631,2025-07-23,CUST1676,Smartwatch Pro,Electronics,East,731.07,1,212.03,UPI
ORD100098,2024-12-03,CUST1602,Trail Backpack,Sports,North,310.71,1,49.11,UPI
ORD100193,2025-08-07,CUST1936,"LED Monitor 24""",Electronics,Central,617.8,1,122.1,UPI
ORD100394,2024-04-16,CUST1690,Yoga Mat,Sports,West,242.73,1,37.03,Debit Card
ORD100091,2024-07-23,CUST1691,"LED Monitor 24""",Electronics,West,2505.1,2,776.89,Credit Card
ORD100136,2025-03-16,CUST1833,Smartphone X,Electronics,West,1207.44,2,64.3,UPI
ORD100429,2025-02-20,CUST1563,Trail Backpack,Sports,East,97.09,1,7.41,Net Banking
ORD100061,2025-10-22,CUST1299,Blender Pro,Home,West,39.03,1,12.78,Credit Card
ORD100156,2025-09-13,CUST1478,Protein Bar Pack,Grocery,East,19.21,1,5.97,Net Banking
ORD100031,2024-12-02,CUST1885,Smartphone X,Electronics,South,89.13,1,24.8,Debit Card
ORD100070,2025-08-20,CUST1992,Running Shoes,Apparel,West,72.73,1,7.15,UPI
ORD100175,2024-07-01,CUST1410,Organic Coffee,Grocery,South,11.58,3,3.49,UPI
ORD100545,2026-02-22,CUST1968,Running Shoes,Apparel,South,27.36,1,8.98,Credit Card
ORD100045,2025-10-11,CUST1477,Wireless Mouse,Electronics,North,,1,174.82,Net Banking
ORD100291,2025-01-11,CUST1532,Tennis Racket,Sports,North,144.62,1,35.17,Debit Card
ORD100071,2025-10-19,CUST1037,Tennis Racket,Sports,North,208.41,1,51.18,Credit Card
ORD100278,2025-12-21,CUST1226,Smartwatch Pro,Electronics,North,191.91,1,19.75,Debit Card
ORD100295,2025-02-05,CUST1997,Tennis Racket,Sports,East,73.0,1,21.17,UPI
ORD100211,2024-08-31,CUST1064,Smartphone X,Electronics,West,476.85,1,97.04,UPI
ORD100620,2024-09-18,CUST1722,Tennis Racket,Sports,West,410.87,1,110.34,Net Banking
ORD100508,2024-07-13,CUST1261,Smartwatch Pro,Electronics,West,1637.72,2,131.72,Net Banking
ORD100405,2025-09-25,CUST1858,Smartphone X,Electronics,North,537.67,1,138.78,Net Banking
ORD100324,2026-03-05,CUST1901,Blender Pro,Home,West,258.44,1,85.56,Cash
ORD100205,2025-05-07,CUST1693,Air Purifier,Home,East,95.58,1,29.83,Cash
ORD100391,2024-08-04,CUST1942,Running Shoes,Apparel,West,89.28,1,21.39,Net Banking
ORD100066,2024-12-30,CUST1806,Smartwatch Pro,Electronics,South,771.18,1,246.11,Credit Card
ORD100399,2024-04-24,CUST1421,Organic Coffee,Grocery,East,29.14,1,9.97,Debit Card
ORD100050,2024-10-25,CUST1859,Classic Lamp,Home,Central,47.92,1,6.4,Cash
ORD100200,2024-10-04,CUST1109,Organic Coffee,Grocery,Central,30.74,1,1.91,UPI
ORD100134,2025-09-22,CUST1998,Gourmet Tea,Grocery,North,19.41,1,6.23,UPI
ORD100040,2025-08-03,CUST1625,Running Shoes,Apparel,West,42.75,1,9.05,Debit Card
ORD100209,2025-07-07,CUST1570,Air Purifier,Home,Central,113.57,1,21.44,Cash
ORD100514,2025-12-19,CUST1402,Smartphone X,Electronics,West,761.48,1,62.49,UPI
ORD100007,2024-05-31,CUST1234,Noise-Cancel Headphones,Electronics,East,121.89,1,28.47,Debit Card
ORD100102,2026-02-03,CUST1666,Air Purifier,Home,South,135.62,1,46.48,Credit Card
ORD100590,2025-03-14,CUST1508,Formal Shirt,Apparel,East,116.83,1,19.67,Credit Card
ORD100221,2024-11-01,CUST1533,Protein Bar Pack,Grocery,East,18.42,1,4.27,Credit Card
ORD100336,2025-01-30,CUST1463,Blender Pro,Home,South,129.52,1,39.47,Cash
ORD100469,2026-01-02,CUST1362,Blender Pro,Home,Central,155.36,1,47.11,Net Banking
ORD100427,2024-10-15,CUST1197,Formal Shirt,Apparel,South,77.28,1,18.2,Net Banking
ORD100418,2026-01-04,CUST1061,Noise-Cancel Headphones,Electronics,East,768.24,1,67.26,Net Banking
ORD100333,2025-03-16,CUST1110,Wireless Mouse,Electronics,North,1833.14,2,614.23,Net Banking
ORD100688,2025-12-01,CUST1816,Trail Backpack,Sports,East,339.29,1,63.71,Net Banking
ORD100282,2024-07-08,CUST1346,Kitchen Knife Set,Home,Central,615.09,3,107.26,UPI
ORD100042,2026-02-16,CUST1543,Air Purifier,Home,Central,87.51,1,15.59,UPI
ORD100109,2024-05-24,CUST1690,Running Shoes,Apparel,East,270.51,3,58.51,Net Banking
ORD100432,2024-07-09,CUST1038,Tennis Racket,Sports,East,113.66,1,12.51,Cash
ORD100057,2024-10-16,CUST1087,"LED Monitor 24""",Electronics,West,1001.5,1,253.65,Credit Card
ORD100307,2025-06-08,CUST1807,Trail Backpack,Sports,East,275.96,1,85.7,Net Banking
ORD100519,2025-04-06,CUST1498,Running Shoes,Apparel,West,32.98,1,7.69,UPI
ORD100025,2025-11-01,CUST1102,Running Shoes,Apparel,Central,132.9,1,34.83,Cash
ORD100430,2024-12-20,CUST1368,Tennis Racket,Sports,West,13.42,1,0.99,Debit Card
ORD100166,2024-12-12,CUST1285,Air Purifier,Home,East,77.71,1,5.7,UPI
ORD100235,2026-01-06,CUST1424,Scented Candle,Home,West,33.77,1,2.33,Cash
ORD100287,2026-02-16,CUST1099,Running Shoes,Apparel,East,82.75,1,23.39,UPI
ORD100266,2026-01-25,CUST1454,Blender Pro,Home,North,558.02,2,122.51,Debit Card
ORD100111,2024-08-22,CUST1782,Denim Jacket,Apparel,East,107.75,1,5.85,Debit Card
ORD100083,2025-12-29,CUST1699,"LED Monitor 24""",Electronics,West,265.37,1,89.98,Credit Card
ORD100052,2024-06-20,CUST1606,"LED Monitor 24""",Electronics,North,493.75,1,60.54,Net Banking
ORD100228,2025-08-13,CUST1139,Yoga Mat,Sports,West,138.96,1,34.82,UPI
ORD100577,2025-07-02,CUST1231,Air Purifier,Home,West,190.36,2,27.01,UPI
ORD100677,2024-08-25,CUST1742,Air Purifier,Home,East,246.8,1,27.01,Cash
ORD100538,2024-04-16,CUST1709,Wireless Mouse,Electronics,South,414.81,1,61.1,Cash
ORD100354,2025-06-26,CUST1390,Scented Candle,Home,North,154.75,1,53.42,Net Banking
ORD100578,2024-04-17,CUST1690,Protein Bar Pack,Grocery,North,7.86,1,1.4,Net Banking
ORD100665,2025-12-15,CUST1135,Blender Pro,Home,Central,150.44,1,41.43,Credit Card
ORD100019,2025-07-21,CUST1255,Running Shoes,Apparel,West,30.81,1,2.36,Credit Card
ORD100258,2026-02-06,CUST1385,Electric Kettle,Home,North,121.08,2,20.49,Debit Card
ORD100265,2024-11-17,CUST1133,Yoga Mat,Sports,West,107.27,1,5.95,Credit Card
ORD100438,2025-05-13,CUST1667,Smartwatch Pro,Electronics,South,2558.5,2,755.24,UPI
ORD100529,2025-10-08,CUST1519,"LED Monitor 24""",Electronics,West,2924.4,4,756.08,UPI
ORD100062,2024-07-29,CUST1841,Running Shoes,Apparel,West,166.0,2,41.17,Cash
ORD100426,2025-12-26,CUST1272,Formal Shirt,Apparel,North,21.95,1,7.59,Credit Card
ORD100695,2025-11-25,CUST1673,Blender Pro,Home,North,90.54,1,19.16,Debit Card
ORD100030,2024-05-14,CUST1920,Gourmet Tea,Grocery,South,28.57,1,5.48,Net Banking
ORD100319,2026-02-20,CUST1091,Organic Coffee,Grocery,Central,22.0,1,4.52,Credit Card
ORD100255,2024-05-27,CUST1183,"LED Monitor 24""",Electronics,Central,1316.49,1,79.07,Cash
ORD100248,2025-06-03,CUST1433,Scented Candle,Home,North,192.26,1,38.61,Debit Card
ORD100337,2026-01-11,CUST1222,Yoga Mat,Sports,South,359.38,1,41.82,Debit Card
ORD100445,2025-12-06,CUST1544,Running Shoes,Apparel,South,92.23,1,31.58,Net Banking
ORD100614,2026-03-05,CUST1662,Tennis Racket,Sports,North,243.25,1,43.69,UPI
ORD100376,2025-11-28,CUST1823,Smartwatch Pro,Electronics,North,303.22,1,52.32,Net Banking
ORD100350,2024-09-22,CUST1994,Air Purifier,Home,Central,25.98,1,1.46,UPI
ORD100250,2024-05-30,CUST1316,Smartphone X,Electronics,North,251.97,1,59.79,Net Banking
ORD100658,2025-02-04,CUST1291,Smartwatch Pro,Electronics,South,1242.42,2,255.22,Cash
ORD100334,2025-08-27,CUST1004,Formal Shirt,Apparel,North,70.63,1,15.01,Debit Card
ORD100370,2024-12-09,CUST1044,Blender Pro,Home,Central,176.3,1,16.95,Debit Card
ORD100177,2026-03-25,CUST1788,Electric Kettle,Home,North,199.6,1,58.66,UPI
ORD100224,2024-06-07,CUST1591,Organic Coffee,Grocery,Central,11.68,1,3.73,Net Banking
ORD100214,2026-03-16,CUST1648,Protein Bar Pack,Grocery,Central,27.52,1,4.04,Net Banking
ORD100240,2024-07-10,CUST1001,Yoga Mat,Sports,West,34.38,3,9.26,Cash
ORD100183,2025-07-07,CUST1890,Scented Candle,Home,West,43.02,1,8.87,Credit Card
ORD100660,2025-05-13,CUST1892,Denim Jacket,Apparel,Central,73.39,1,22.21,UPI
ORD100164,2025-05-31,CUST1707,Yoga Mat,Sports,West,531.24,2,125.39,Debit Card
ORD100292,2024-07-15,CUST1947,Organic Coffee,Grocery,Central,30.59,1,2.96,Cash
ORD100617,2025-09-01,CUST1504,Trail Backpack,Sports,West,110.22,2,14.96,Credit Card
ORD100446,2024-09-11,CUST1018,Gourmet Tea,Grocery,East,36.46,1,9.26,Credit Card
ORD100353,2025-12-28,CUST1064,Smartwatch Pro,Electronics,North,134.92,1,26.17,Cash
ORD100400,2025-03-02,CUST1689,Formal Shirt,Apparel,West,80.13,3,7.13,Debit Card
ORD100524,2026-02-27,CUST1411,Trail Backpack,Sports,North,303.33,1,30.46,Credit Card
ORD100105,2025-03-30,CUST1106,Smartwatch Pro,Electronics,Central,994.53,1,299.15,Cash
ORD100115,2024-10-19,CUST1927,Gourmet Tea,Grocery,East,12.02,1,2.04,Debit Card
ORD100632,2025-05-11,CUST1046,Running Shoes,Apparel,West,82.18,1,22.18,Net Banking
ORD100197,2024-08-25,CUST1737,Air Purifier,Home,West,56.77,1,5.2,Credit Card
ORD100484,2025-07-24,CUST1581,Blender Pro,Home,North,217.07,1,51.09,UPI
ORD100093,2026-02-19,CUST1972,Air Purifier,Home,West,172.15,1,44.86,Net Banking
ORD100008,2026-01-22,CUST1469,Blender Pro,Home,East,50.39,1,8.06,Net Banking
ORD100090,2025-04-13,CUST1092,Scented Candle,Home,North,80.32,1,11.09,UPI
ORD100533,2025-06-24,CUST1148,Yoga Mat,Sports,Central,198.3,1,15.01,Cash
ORD100640,2025-08-01,CUST1119,Protein Bar Pack,Grocery,Central,3.79,1,0.66,Debit Card
ORD100526,2025-12-22,CUST1385,Smartphone X,Electronics,North,122.76,1,29.78,Net Banking
ORD100381,2024-04-09,CUST1823,Running Shoes,Apparel,South,47.98,2,12.16,Net Banking
ORD100410,2025-12-22,CUST1826,Denim Jacket,Apparel,East,53.76,1,9.29,Debit Card
ORD100213,2026-01-30,CUST1997,Kitchen Knife Set,Home,South,84.38,1,11.03,UPI
ORD100141,2026-01-18,CUST1810,Noise-Cancel Headphones,Electronics,North,602.91,1,46.64,Credit Card
ORD100029,2024-04-13,CUST1114,Running Shoes,Apparel,South,74.65,1,20.07,Cash
ORD100044,2025-01-21,CUST1240,Denim Jacket,Apparel,East,30.03,1,3.5,Debit Card
ORD100043,2024-09-13,CUST1761,Protein Bar Pack,Grocery,West,74.84,2,3.9,Debit Card
ORD100074,2024-07-29,CUST1472,Organic Coffee,Grocery,South,29.2,2,6.44,UPI
ORD100168,2024-06-23,CUST1354,Tennis Racket,Sports,East,195.82,1,57.6,Cash
ORD100364,2024-08-25,CUST1456,Smartphone X,Electronics,South,859.8,1,210.56,Cash
ORD100697,2024-09-17,CUST1107,Tennis Racket,Sports,North,337.98,2,95.54,Debit Card
ORD100067,2025-12-04,CUST1766,Smartwatch Pro,Electronics,East,1368.78,2,332.08,Net Banking
ORD100012,2025-02-03,CUST1861,Formal Shirt,Apparel,Central,118.53,3,34.67,Credit Card
ORD100249,2025-03-04,CUST1400,Smartwatch Pro,Electronics,North,669.17,1,110.53,UPI
ORD100572,2024-07-11,CUST1801,Organic Coffee,Grocery,Central,13.98,1,4.87,Cash
ORD100179,2025-07-05,CUST1540,Gourmet Tea,Grocery,North,44.7,1,13.63,Net Banking
ORD100347,2024-11-08,CUST1679,Trail Backpack,Sports,East,340.52,1,72.14,Credit Card
ORD100500,2025-03-21,CUST1547,Classic Lamp,Home,West,124.67,1,38.52,Cash
ORD100251,2024-09-21,CUST1380,Blender Pro,Home,East,231.18,1,55.09,Net Banking
ORD100297,2024-10-18,CUST1896,Yoga Mat,Sports,North,97.71,1,26.06,UPI
ORD100646,2025-07-16,CUST1985,Organic Coffee,Grocery,North,12.96,2,3.86,Net Banking
ORD100178,2025-12-15,CUST1382,Wireless Mouse,Electronics,Central,4599.8,4,996.45,Net Banking
ORD100507,2025-09-28,CUST1699,Noise-Cancel Headphones,Electronics,North,955.94,1,65.08,Cash
ORD100452,2025-12-21,CUST1631,Denim Jacket,Apparel,Central,41.14,1,12.84,UPI
ORD100084,2025-01-23,CUST1693,Air Purifier,Home,South,71.6,2,11.85,Cash
ORD100219,2024-04-14,CUST1100,Denim Jacket,Apparel,South,68.44,1,9.25,UPI
ORD100580,2025-11-20,CUST1607,Denim Jacket,Apparel,West,114.43,1,19.94,Debit Card
ORD100362,2025-11-17,CUST1414,Smartwatch Pro,Electronics,South,1680.58,2,319.68,Debit Card
ORD100672,2025-12-06,CUST1600,"LED Monitor 24""",Electronics,West,669.76,1,116.09,Net Banking
ORD100468,2026-01-08,CUST1541,Running Shoes,Apparel,West,84.53,1,22.9,Cash
ORD100080,2025-03-06,CUST1872,Air Purifier,Home,West,265.36,1,27.37,Net Banking
ORD100024,2026-02-18,CUST1733,,Sports,South,1510.6,4,165.58,Credit Card
ORD100016,2024-06-15,CUST1724,Noise-Cancel Headphones,Electronics,South,83.94,1,17.29,UPI
ORD100389,2025-01-23,CUST1095,Scented Candle,Home,East,44.13,1,13.22,Cash
ORD100245,2024-10-14,CUST1765,Scented Candle,Home,East,178.61,1,28.16,Debit Card
ORD100486,2025-08-03,CUST1115,Gourmet Tea,Grocery,West,57.12,2,14.45,Credit Card
ORD100396,2025-11-14,CUST1702,"LED Monitor 24""",Electronics,North,,2,154.31,Debit Card
ORD100673,2025-05-26,CUST1648,"LED Monitor 24""",Electronics,North,1401.1,1,79.23,Debit Card
ORD100517,2026-03-10,CUST1837,Protein Bar Pack,Grocery,North,31.14,1,10.45,Credit Card
ORD100138,2024-05-22,CUST1886,Trail Backpack,Sports,East,1159.53,3,257.45,UPI
ORD100550,2025-10-04,CUST1292,Smartphone X,Electronics,South,1969.3,2,517.18,Credit Card
ORD100335,2024-08-13,CUST1106,Scented Candle,Home,Central,364.4,2,106.39,Debit Card
ORD100034,2024-12-27,CUST1182,Smartwatch Pro,Electronics,East,634.9,1,152.96,Net Banking
ORD100474,2025-09-19,CUST1306,Smartwatch Pro,Electronics,East,139.68,2,28.24,Cash
ORD100301,2024-12-18,CUST1622,Electric Kettle,Home,East,101.1,1,10.56,Net Banking
ORD100613,2025-01-18,CUST1744,Yoga Mat,Sports,West,88.74,1,29.14,UPI
ORD100010,2025-07-27,CUST1541,Denim Jacket,Apparel,Central,98.56,1,6.3,Cash
ORD100023,2024-11-30,CUST1413,Organic Coffee,Grocery,Central,21.67,1,1.57,Net Banking
ORD100685,2025-07-12,CUST1002,Wireless Mouse,Electronics,North,517.66,1,157.88,Net Banking
ORD100222,2024-07-24,CUST1693,Smartphone X,Electronics,South,609.87,1,58.46,UPI
ORD100412,2025-06-26,CUST1744,Classic Lamp,Home,South,45.25,1,7.27,UPI
ORD100689,2025-12-09,CUST1634,Tennis Racket,Sports,North,24.85,1,2.74,Cash
ORD100351,2026-03-24,CUST1899,Wireless Mouse,Electronics,North,481.56,2,159.74,Credit Card
ORD100085,2025-05-02,CUST1873,Protein Bar Pack,Grocery,North,77.62,2,7.83,UPI
ORD100343,2026-01-27,CUST1376,Smartwatch Pro,Electronics,Central,655.54,2,95.53,Credit Card
ORD100257,2025-10-15,CUST1778,"LED Monitor 24""",Electronics,South,,1,51.13,Credit Card
ORD100587,2025-11-22,CUST1027,Trail Backpack,Sports,West,251.07,1,46.78,Debit Card
ORD100204,2024-04-20,CUST1984,Yoga Mat,Sports,Central,96.75,1,28.04,Net Banking
ORD100592,2024-06-11,CUST1580,Formal Shirt,Apparel,West,80.55,3,11.65,Cash
ORD100094,2024-05-07,CUST1706,Gourmet Tea,Grocery,South,8.05,1,1.22,Net Banking
ORD100300,2025-01-04,CUST1667,Wireless Mouse,Electronics,Central,,2,122.58,Debit Card
ORD100630,2026-03-05,CUST1924,Electric Kettle,Home,South,160.04,1,55.62,Credit Card
ORD100383,2025-09-16,CUST1292,Yoga Mat,Sports,North,,1,81.26,Cash
ORD100185,2025-03-24,CUST1158,Denim Jacket,Apparel,South,28.85,1,9.03,Credit Card
ORD100637,2024-09-21,CUST1924,Blender Pro,Home,West,219.83,1,31.15,Net Banking
ORD100345,2024-05-14,CUST1157,Trail Backpack,Sports,Central,158.8,1,11.61,Net Banking
ORD100154,2025-02-24,CUST1751,Gourmet Tea,Grocery,West,13.28,1,3.25,Cash
ORD100076,2024-04-06,CUST1289,Electric Kettle,Home,Central,190.07,1,31.92,Cash
ORD100482,2025-02-16,CUST1627,Trail Backpack,Sports,Central,55.09,1,5.68,Credit Card
ORD100069,2026-02-21,CUST1841,Denim Jacket,Apparel,Central,54.98,1,4.42,Debit Card
ORD100535,2026-01-17,CUST1975,Kitchen Knife Set,Home,South,151.74,1,10.75,Debit Card
ORD100189,2025-03-22,CUST1964,Scented Candle,Home,Central,101.33,1,16.99,UPI
ORD100272,2025-05-06,CUST1363,Smartphone X,Electronics,South,996.0,2,204.83,Cash
ORD100237,2025-02-28,CUST1848,Electric Kettle,Home,East,163.77,1,45.54,Credit Card
ORD100089,2025-08-10,CUST1990,Electric Kettle,Home,East,469.92,2,121.76,UPI
ORD100595,2024-10-26,CUST1373,Tennis Racket,Sports,South,165.17,1,40.93,Credit Card
ORD100118,2024-06-01,CUST1377,Electric Kettle,Home,North,374.74,2,37.05,Net Banking
ORD100126,2024-12-03,CUST1992,Tennis Racket,Sports,Central,136.87,1,7.8,UPI
ORD100576,2024-08-21,CUST1507,Gourmet Tea,Grocery,East,7.67,1,2.68,Net Banking
ORD100239,2025-01-09,CUST1095,Gourmet Tea,Grocery,East,6.01,1,1.8,Debit Card
ORD100001,2026-01-18,CUST1114,Classic Lamp,Home,East,93.9,1,25.32,Net Banking
ORD100696,2024-06-13,CUST1349,Yoga Mat,Sports,West,184.38,1,45.55,Cash
